PEID	ROP3	geonameid
625	102439	2648110
626	102787	2648110
627	100516	2648110
628	110051	2648110
629	102954	2648110
630	109692	2648110
631	103021	2648110
632	103059	2648110
635	104844	2648110
636	103480	2648110
637	103544	2648110
641	103789	2648110
642	103918	2648110
643	107987	2648110
644	108929	3333223
645	104096	2648110
646	104168	2648110
647	104088	2648110
648	117322	2648110
650	105225	2648110
652	105458	3333158
654	105674	2648110
656	106144	2648110
659	106285	6269131
661	103998	2648110
662	100425	2648110
663	106804	2648110
666	107478	2648110
669	109502	3333158
671	108096	2648110
672	108129	2647043
673	108182	3333172
674	108394	2648110
675	108452	2636512
678	108777	3333233
679	108856	2648110
680	108884	2648110
681	105310	3333125
682	109027	2648110
683	109392	2648110
684	109534	2648110
685	109650	2648110
686	103304	2648110
688	100222	2648110
689	108397	3333194
690	102345	2648110
692	110376	2648110
693	110423	2648110
694	105018	2648110
702	108394	3183879
704	100222	363245
705	101833	625143
713	101629	3229999
716	102315	3229999
723	113818	3229999
724	108856	3230000
727	100516	728194
732	108104	864553
736	103132	726419
737	108397	864560
738	105968	733192
744	113818	736287
745	108452	731061
750	109874	726419
753	102315	3337532
754	109316	3337532
759	103918	3337523
763	108856	3337530
766	104693	8378773
768	102346	8378778
769	116562	8378778
770	102927	8378771
771	103305	3077684
773	108096	3076125
775	109354	3068798
777	105018	8378771
779	102954	862995
781	108452	862990
784	100018	6643410
785	100516	865544
787	100675	865536
791	103298	611716
793	108121	865536
795	104247	611716
798	107699	865540
800	108452	611716
801	114639	865543
803	110376	611716
806	100516	445408
807	100520	252661
808	100537	445408
811	108397	445408
814	103480	445408
816	105968	734075
817	106518	735735
822	108856	734075
824	100222	445408
828	104693	722064
830	103305	3046431
831	103918	3046431
832	116565	3046431
833	104247	3046431
835	108398	3046431
840	108452	1538652
841	108397	11352868
844	105674	11352868
845	116647	11352868
846	105803	11352868
848	108096	11352544
849	108452	11352868
850	110376	11352868
851	105803	864477
852	108096	864485
853	108452	864485
856	108397	863900
857	101629	863886
858	103338	863919
859	113818	863890
860	108856	863873
861	108397	617991
862	103132	698738
864	104247	618069
866	106730	618069
867	108452	861487
869	101629	7581807
870	104693	6690154
873	101833	7530772
875	103305	7530992
877	104247	6695624
879	105803	6695624
883	108096	7531007
885	116603	6695624
886	109354	6690157
887	110376	7530778
890	104693	8334828
894	102927	8335003
895	103305	8299647
896	103918	8334611
899	108398	8335003
900	116549	8335003
902	113818	679216
903	110376	670933
905	115059	2050915
906	116827	567293
911	103021	542231
912	103768	529352
914	107607	553972
915	104657	552548
916	104791	1511732
917	104904	1503773
918	105152	511180
919	105154	545854
920	105225	472755
925	105877	484048
927	106791	511555
928	106793	525369
930	107064	2022888
934	106548	2023468
936	108394	524894
950	108961	1503900
956	110333	1488873
957	110362	479613
961	114361	2013162
962	114135	1503834
963	111128	1486462
969	108856	8199669
970	102346	3343955
971	103918	3343956
972	109354	3343954
974	116616	3343955
975	110376	865084
979	103305	3239318
980	103918	3344935
981	104096	3199016
982	109357	3239318
983	108452	6452615
984	108452	162181
986	108397	703446
988	102312	703883
998	108452	1484838
1152	100567	1337158
1153	101163	1337201
1155	111656	1337189
1156	111658	1337178
1158	116349	7873929
1159	102927	1337199
1160	101776	1337202
1161	101968	1337202
1162	101976	1337199
1167	103233	1337173
1169	103544	1337178
1170	103647	1337158
1172	103686	1337178
1176	112247	1337189
1178	104918	1337190
1180	104977	1337201
1181	105069	1337172
1185	112994	7873929
1187	106041	1337155
1188	106268	1337190
1189	113113	7873929
1190	106624	1337188
1191	106847	1337201
1192	106893	1337161
1194	115804	1337155
1195	107674	1337155
1196	107677	1337189
1197	107850	7873929
1198	108182	1337178
1200	108370	7873929
1203	108674	1337155
1204	108932	7873929
1206	100557	1337201
1207	109660	1337189
1210	108268	1337162
1212	109815	7873929
1213	109930	1337178
1215	110073	1337193
1216	110460	1337198
1218	100567	7627083
1219	111992	1337293
1222	115073	1337292
1223	114868	7303653
1225	102831	1337292
1226	110781	1269389
1227	103789	1269389
1228	116136	1269389
1229	104937	1337291
1230	105463	1337284
1231	105723	1337283
1232	105776	1337282
1234	102848	7627083
1235	107674	1269389
1237	108674	1269389
1239	110033	1337293
1240	110209	1337289
1241	114869	1337285
1243	113982	1529047
1245	114131	1280239
1248	105550	1529047
6161	103544	1282208
6163	112836	1282208
6164	106169	1282208
6165	109305	1282208
6166	113732	1282208
6167	100597	1283182
